candidate,currency,n_signals,empty_complete_months,weekly_max,weekly_zero_share,calendar_gap_max
s200_cat95_r70_backstop_month24_cap2,AMD,138,0,2,0.34782608695652173,37
s200_cat95_r70_backstop_month24_cap2,KGS,134,0,2,0.36231884057971014,36
s200_cat95_r70_backstop_month24_cap2,KZT,141,0,2,0.3115942028985507,39
s200_cat95_r70_backstop_month24_cap2,TJS,137,0,2,0.35507246376811596,37
s200_cat95_r70_backstop_month24_cap2,UZS,136,0,2,0.34782608695652173,43
known_next_not_lower_cd3,AMD,193,0,2,0.036231884057971016,13
known_next_not_lower_cd3,KGS,188,0,2,0.057971014492753624,18
known_next_not_lower_cd3,KZT,193,0,2,0.028985507246376812,18
known_next_not_lower_cd3,TJS,197,0,2,0.050724637681159424,17
known_next_not_lower_cd3,UZS,186,0,2,0.050724637681159424,17
s200_cat100_r70_backstop_month24_cap2,AMD,138,0,2,0.34782608695652173,37
s200_cat100_r70_backstop_month24_cap2,KGS,134,0,2,0.36231884057971014,36
s200_cat100_r70_backstop_month24_cap2,KZT,142,0,2,0.3115942028985507,39
s200_cat100_r70_backstop_month24_cap2,TJS,138,0,2,0.34057971014492755,37
s200_cat100_r70_backstop_month24_cap2,UZS,137,0,2,0.34782608695652173,43
s200_cat95_r60_backstop_month24_cap2,AMD,140,0,2,0.34057971014492755,37
s200_cat95_r60_backstop_month24_cap2,KGS,136,0,2,0.35507246376811596,36
s200_cat95_r60_backstop_month24_cap2,KZT,141,0,2,0.3188405797101449,39
s200_cat95_r60_backstop_month24_cap2,TJS,138,0,2,0.34782608695652173,37
s200_cat95_r60_backstop_month24_cap2,UZS,136,0,2,0.34782608695652173,43
s100_cat95_r70_backstop_month24_cap2,AMD,138,0,2,0.34782608695652173,37
s100_cat95_r70_backstop_month24_cap2,KGS,133,0,2,0.36231884057971014,37
s100_cat95_r70_backstop_month24_cap2,KZT,141,0,2,0.3115942028985507,39
s100_cat95_r70_backstop_month24_cap2,TJS,137,0,2,0.35507246376811596,37
s100_cat95_r70_backstop_month24_cap2,UZS,136,0,2,0.34782608695652173,43
s200_cat_silence14_r70_backstop_month24_cap2,AMD,139,0,2,0.34782608695652173,37
s200_cat_silence14_r70_backstop_month24_cap2,KGS,133,0,2,0.34782608695652173,36
s200_cat_silence14_r70_backstop_month24_cap2,KZT,138,0,2,0.3188405797101449,36
s200_cat_silence14_r70_backstop_month24_cap2,TJS,137,0,2,0.3333333333333333,37
s200_cat_silence14_r70_backstop_month24_cap2,UZS,135,0,2,0.34782608695652173,29
